name,latitude,longitude,type,rating,comment,status
Riverside Park,40.78315301,-73.98679232,A,N/A,"A, Out in Open, Just Outside Playground",Active
Riverside Park South,40.77981994,-73.98836849,D,N/A,"D, Out in Open",Active
Dr. Gertrude B. Kelly Playground,40.74167978,-74.00207383,C,N/A,"C, Under Tree, Near Ballfield, In Playground",Active
ABC Playground,40.72182815,-73.98615358,D,N/A,"D, Under Tree, In Playground, Near Ballfield",Active
William F. Passannante Ballfield,40.72872004,-74.00242324,A,N/A,"A, Near Ballfield, In Shade, Under Tree",Active
Classon Playground,40.68916975,-73.96063397,C,N/A,"C, Under Tree, Out in Open, In Playground",Active
Givan Square,40.86797015,-73.84284225,D,N/A,"D, Under Tree, In Shade, In Playground",Active
Highland Park,40.68744983,-73.89012002,A,N/A,"A, In Shade",Active
Flushing Meadows Corona Park,40.74137742,-73.84827835,A,N/A,"A, Near Ballfield, Just Outside Playground",Active
Frank Principe Park,40.72753094,-73.90361858,Other,N/A,"Other, Under Tree",Active
Flushing Meadows Corona Park,40.74843557,-73.84054374,C,N/A,"C, Out in Open",Active
Mafera Park,40.70672395,-73.89174158,C,N/A,"C, Near Ballfield",Active
Gravesend Park,40.62413569,-73.9843104,C,N/A,"C, Out in Open, Just Outside Playground",Active
Kissena Park,40.74231161,-73.80840666,C,N/A,"C, Out in Open, In Playground",Active
Battery Park City,40.71448322,-74.01732014,Other,N/A,"Other, Under Tree",Active
Washington Square Park,40.73053164,-73.99723548,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Eleanor Roosevelt Playground,40.69271002,-73.93582212,Bottle Filler High Low,N/A,"Bottle Filler High Low, In Playground",Active
Saratoga Park,40.68524779,-73.91790713,Other,N/A,"Other, Under Tree, In Playground",Active
Forest Park,40.70096389,-73.84286532,D,N/A,"D, In Playground",Active
St. John's Recreation Center,40.67505034,-73.93378934,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Alfred E. Smith Playground,40.71025919,-73.99788622,E Wheelchair,N/A,"E Wheelchair, Near Ballfield",Active
Red Hook Recreation Area,40.67243037,-74.00603793,A,N/A,"A, Out in Open",Active
Grand Central Parkway Extension,40.74043145,-73.841935,D,N/A,"D, Under Tree, Out in Open",Active
Detective Keith L Williams Park,40.70318723,-73.7850332,A,N/A,"A, In Shade",Active
Silver Lake Park,40.62859818,-74.0915897,A,N/A,"A, Out in Open",Active
Prospect Park,40.65340703,-73.96792382,Bottle Filler Fountain,N/A,"Bottle Filler Fountain, Under Tree, In Shade, Out in Open",Active
Coney Island Beach & Boardwalk,40.57265277,-73.9833493,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Elmhurst Park,40.73068049,-73.88497889,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Fort Tryon Park,40.86380628,-73.93028739,Other,N/A,"Other, Under Tree",Active
Red Hook Recreation Area,40.6726557,-74.00458783,A,N/A,"A, Out in Open",Active
Annunciation Playground,40.81798197,-73.9522538,Other,N/A,"Other, Near Ballfield, Just Outside Playground",Active
Prospect Park,40.66972476,-73.96787068,A,N/A,A,Active
Coney Island Beach & Boardwalk,40.57143608,-73.99456137,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Bath Beach Park,40.60258543,-74.01097259,A,N/A,"A, Under Tree",Active
Franklin D. Roosevelt Boardwalk and Beach,40.59103751,-74.06521232,D,N/A,"D, Near Ballfield",Active
Bush Terminal Park,40.65329318,-74.01917659,CS Metal,N/A,"CS Metal, Near Ballfield",Active
Central Park,40.77181245,-73.97700106,B,N/A,"B, Under Tree, In Shade, Out in Open",Active
Bicentennial Veterans Memorial Park,40.82326347,-73.81413048,A,N/A,"A, Under Tree, Out in Open",Active
E.M.T. Christopher J. Prescott Playground,40.52220469,-74.18567861,CS Concrete,N/A,"CS Concrete, In Playground",Active
Jerome Park,40.8811154,-73.88955071,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Crotona Park,40.8365981,-73.89500319,E,N/A,"E, Out in Open",Active
Randall's Island Park,40.79558594,-73.91776207,Pedestal,N/A,"Pedestal, Out in Open, Near Ballfield",Active
Tompkins Square Park,40.72694688,-73.9821315,B,N/A,"B, In Playground, Near Ballfield",Active
Grand Central Parkway Extension,40.76144894,-73.8580585,C,N/A,"C, Out in open",Active
Ethan Allen Playground,40.65577894,-73.88681474,CS Concrete,N/A,"CS Concrete, In Playground",Active
Parade Ground,40.65280064,-73.96609333,A,N/A,"A, Out in Open, Near Ballfield",Active
Lawrence Virgilio Playground,40.74735874,-73.91019192,A,N/A,"A, Under Tree, Just Outside Playground",Active
Electric Playground,40.73623137,-73.8052067,A,N/A,"A, Out in Open",Active
Franklin D. Roosevelt Boardwalk and Beach,40.57100781,-74.08754251,A,N/A,"A, Out in Open",Active
Jones Woods Park,40.63926087,-74.08997209,D,N/A,"D, Under Tree",Active
John V. Lindsay East River Park,40.72237191,-73.97273629,E Wheelchair,N/A,"E Wheelchair, Near Ballfield",Active
Maria Hernandez Park,40.703877,-73.92370872,A,N/A,"A, Near Ballfield",Active
Pelham Bay Park,40.84842752,-73.82510497,E Wheelchair,N/A,"E Wheelchair, In Playground",Active
Pelham Bay Park,40.87027334,-73.78830235,A,N/A,"A, Out in Open",Active
Riverbend Playground,40.87199823,-73.9060005,C,N/A,"C, In Playground, Under Tree",Active
